"Transaction ID ","Date","Country","Product ID ","Product name","Category","Price Per Unit ","Quantity Purchased","Cost Price","Discount Applied ","Payment method","Customer age group","Customer gender ","Stores location","Sales representative","Total Amount","Profit"
"5e2d5c52-6ac0-4bbe-9d47-fed978f8b20e","2025-12-22","Canada","9f5f0c7f-51af-43b3-a6ae-75ab6229bd91","Stop","Clothing","33.61",10,"28.57","1.4","Cash","Senior","Male","Montreal","Brittany Jones","334.70","296.13"
"da5cbcde-370e-43e3-9279-86c260df51d5","2025-11-20","Canada","326106ec-2568-4c85-915e-5cdff5df1693","Every","Electronics","278.13",3,"187.44","39.03","Credit Card","Senior","Male","Vancouver","Robin Ward","795.36","604.92"
"fed3f20c-21b9-4a9b-bf61-329728de6c24","2025-09-19","Canada","6540cbfc-55dc-4131-92b2-54ecf6cff8d1","Culture","Clothing","265.8",1,"230.08","34.9","Cash","Senior","Male","Montreal","Julie Rowland","230.90","-0.18"
"428dce59-ca0b-4d28-ab4d-1c15d3145939","2025-07-26","Canada","47d2c0d9-d641-450c-b138-2746be5e7d83","Stage","Beauty","444.69",4,"345.35","78.84","Cash","Senior","Other","Vancouver","Michael Miranda","1699.92","1350.57"
"60d04c33-b4ac-4fa4-b0ab-4cbc8fe01ba4","2025-09-18","Canada","106cdac3-5741-4cbc-bbd7-67d7e48e3962","Morning","Sports","113.1",10,"68.13","21.92","Credit Card","Adult","Male","Toronto","David Dennis","1109.08","1030.95"
"e665080c-9d42-4858-9ec5-7f009abde027","2025-05-25","Canada","2688e085-dcec-4f0a-8ced-acdfe2b7b5b8","Early","Electronics","104.9",1,"93.27","18.39","Credit Card","Senior","Female","Montreal","Ryan Wolf","86.51","-7.76"
"965c99da-f5ab-44c3-a309-7f52fab42639","2025-08-17","Canada","19cc0fb6-7825-4053-b5e1-16068314f629","News","Beauty","499.98",5,"417.6","7.94","Mobile Payment","Adult","Other","Vancouver","Stephen Kent","2491.96","2069.36"
"a2e00c16-0563-4733-8221-838bcc3725a5","2025-05-17","Canada","db116c99-28d1-4471-a411-e652511505c1","Say","Electronics","75.75",4,"50.93","13.96","Mobile Payment","Adult","Male","Vancouver","Jennifer Osborne","289.04","234.11"
"9dada223-10b0-4f44-965f-0d05a3639a8b","2025-07-16","Canada","cb927b1e-c0aa-4f9f-b421-481311e376be","Pm","Electronics","156.13",2,"121.04","18.18","Credit Card","Senior","Female","Vancouver","Elizabeth Olson","294.08","171.04"
"9ac4e033-2710-4e08-b0eb-3454e5225adf","2025-12-14","Canada","667e98f2-a3b6-474f-88a0-e4a5bd6fbca9","Experience","Home & Kitchen","33.8",7,"26.57","5.82","Cash","Adult","Male","Toronto","Daniel Mccarthy","230.78","197.21"
